molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL544717,CCOC(=O)c1cnc(CN)c2cc(OC)c(OCC)cc12.Cl,4700.0,intermediate
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,2.0,active
CHEMBL543062,CCCOc1cc2c(CN)ncc(C(=O)OCC)c2cc1OC.Cl,8400.0,intermediate
CHEMBL554957,COc1cc2c(C(=O)O)cnc(CN)c2cc1OC.Cl,103000.0,inactive
CHEMBL289580,CCOC(=O)c1cnc(CCN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,746000.0,inactive
CHEMBL544950,CCOC(=O)c1cnc(CN)c2c(OC)ccc(OC)c12.Cl,2400.0,intermediate
CHEMBL288207,CCOC(=O)CCc1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,52600.0,inactive
CHEMBL554683,CCOC(=O)c1cnc(CN)c2cc(OCC)c(OC)cc12.Cl,6700.0,intermediate
CHEMBL554882,COc1cc2c(C(N)=O)cnc(CN)c2cc1OC.Cl,170000.0,inactive
CHEMBL41114,CCOC(=O)/C=C/c1cnc(CN)c2cc(OC)c(OC)cc12.O=C(O)C(F)(F)F,18000.0,inactive
CHEMBL554682,CCOC(=O)c1cnc(CNC)c2cc(OC)c(OC)cc12.Cl,731000.0,inactive
CHEMBL544478,CCOC(=O)c1cnc(CN)c2cc(O)c(OC)cc12.Cl,14000.0,inactive
CHEMBL544241,CCOC(=O)Cc1cnc(CN)c2cc(OC)c(OC)cc12.Cl,17000.0,inactive
CHEMBL539500,CCOC(=O)c1cnc(CN)c2cc(OC)c(OC)c(OC)c12.Cl,18000.0,inactive
CHEMBL555560,CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12.Cl,320.0,active
CHEMBL77539,N#C[C@@H]1CCCN1C(=O)CNCCNc1ccc([N+](=O)[O-])cn1,8.0,active
CHEMBL539243,CCOC(=O)c1cnc(CN)c2c(OC)c(OC)c(OC)cc12.Cl,1100.0,intermediate
CHEMBL283880,Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,23.4,active
CHEMBL151999,CC(C)c1cccc(C(C)C)c1N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=S,12.0,active
CHEMBL313952,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,21.3,active
CHEMBL153236,CSc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,active
CHEMBL315471,Cc1cccc(C)c1N1C(=O)c2cccc(N)c2C1=O,16.0,active
CHEMBL88474,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc(O)c2C1=O,14.1,active
CHEMBL152529,Cc1cccc(C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,active
CHEMBL90558,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(N)cc2C1=O,81.0,active
CHEMBL8916,Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O,100.0,active
CHEMBL277841,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,100.0,active
CHEMBL90616,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O,100.0,active
CHEMBL345319,CSc1ccccc1N1C(=O)c2cccc(O)c2C1=O,64.4,active
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,100.0,active
CHEMBL113918,Cc1cccc(C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,100.0,active
CHEMBL88953,CCc1cccc(CC)c1N1C(=O)c2ccc(O)cc2C1=O,12.8,active
CHEMBL89081,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=O,100.0,active
CHEMBL329471,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccccc2C1=S,18.7,active
CHEMBL151461,O=C(C1CCC[C@H]1B(O)O)[C@@H]1CCCN1,18.7,active
CHEMBL91130,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,100.0,active
CHEMBL153096,CCc1cccc(CC)c1N1C(=O)c2cccc(O)c2C1=O,12.8,active
CHEMBL424612,Cc1cccc(C)c1N1C(=O)c2ccc(O)cc2C1=O,19.8,active
CHEMBL153037,CC(C)c1cccc(C(C)C)c1N1C(=S)c2c(F)c(F)c(F)c(F)c2C1=S,15.1,active
CHEMBL169758,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(I)cc2)C1,660.0,active
CHEMBL168986,CS(=O)(=O)c1ccc(S(=O)(=O)N[C@H]2CC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,130.0,active
CHEMBL366751,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,550.0,active
CHEMBL172276,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@H](OC(=O)Nc2ccc(I)cc2)C1,670.0,active
CHEMBL171033,COc1ccc(NC(=O)O[C@@H]2CCC[C@H]([C@H](N)C(=O)N3CCSC3)C2)cc1,83.0,active
CHEMBL439836,CS(=O)(=O)NCCS(=O)(=O)N[C@@H]1CC[C@@H]([C@H](N)C(=O)N2CCCC2)C1,71.0,active
CHEMBL352343,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@@H](OC(=O)Nc2ccc(Cl)c(Cl)c2)C1,280.0,active
CHEMBL169962,N[C@H](C(=O)N1CCCC1)[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,110.0,active
CHEMBL352737,COc1ccc(NC(=O)O[C@H]2CCC[C@H]([C@H](N)C(=O)N3CCCC3)C2)cc1,480.0,active
CHEMBL368156,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](O)C1,840.0,active
CHEMBL171437,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(C(=O)O)cc2)C1,72.0,active
